file,accuracy,f1_score,recall,precision
social_media_cohere_random_samples_cohere_random42_30_temp0_exp1.csv,0.36229022704837116,0.3807834973947697,0.5496264961224262,0.4879623709325081
social_media_cohere_random_samples_cohere_random24_30_temp0_exp1.csv,0.3824975417895772,0.3976375402908041,0.5382701786539917,0.4989884184767596
yahoo_cohere_random_samples_cohere_random42_30_temp0_exp1.csv,0.6969072164948453,0.3198504263344818,0.31677600749765694,0.3358465335819299
yahoo_cohere_random_samples_cohere_random24_60_temp0_exp1.csv,0.6936170212765957,0.3515607416543512,0.3468085106382979,0.36791491564358814
go_emotions_cohere_random_samples_cohere_random42_48_temp0_exp1.csv,0.30982905982905984,0.17451379807627587,0.16524216524216526,0.25151023583778803
20_newsgroups_cohere_random_samples_cohere_random42_80_temp0_exp1.csv,0.6703182055294732,0.38868729171888267,0.38309210526315784,0.44645985679926015
sst5_cohere_random_samples_cohere_random24_30_temp0_exp1.csv,0.5402061855670103,0.5387964690400494,0.5402061855670104,0.568373730087545
sst5_cohere_random_samples_cohere_random42_30_temp0_exp1.csv,0.48556701030927835,0.4843038254857728,0.4855670103092784,0.5247750159026682
sst5_cohere_random_samples_cohere_random42_60_temp0_exp1.csv,0.5404255319148936,0.5434427076210477,0.5404255319148936,0.5620929462204078
yahoo_cohere_random_samples_cohere_random24_30_temp0_exp1.csv,0.7082474226804124,0.3755032421867045,0.37276180141074333,0.39086364139650925
yahoo_cohere_random_samples_cohere_random42_60_temp0_exp1.csv,0.7,0.4140039374534401,0.4117647058823529,0.4286148549949321
go_emotions_cohere_random_samples_cohere_random42_96_temp0_exp1.csv,0.31524122807017546,0.139984185134109,0.1327331486611265,0.18834261549079104
20_newsgroups_cohere_random_samples_cohere_random24_80_temp0_exp1.csv,0.6489583333333333,0.35411143497658387,0.3507882882882883,0.40250208928541853
20_newsgroups_cohere_random_samples_cohere_random42_40_temp0_exp1.csv,0.6510204081632653,0.3985486369742252,0.3945578231292517,0.4629077565886417
social_media_cohere_random_samples_cohere_random24_60_temp0_exp1.csv,0.5422680412371134,0.4738846267720899,0.5584351715758665,0.4914375636397297
ag_news_cohere_random_samples_cohere_random42_40_temp0_exp1.csv,0.8375,0.8320278890225211,0.8375,0.8558194650972195
ag_news_cohere_random_samples_cohere_random24_40_temp0_exp1.csv,0.8489583333333334,0.8444357244927501,0.8489583333333334,0.86254078606307
ag_news_cohere_random_samples_cohere_random42_80_temp0_exp1.csv,0.8206521739130435,0.8118929541437263,0.8206521739130435,0.8427762237762237
go_emotions_cohere_random_samples_cohere_random24_48_temp0_exp1.csv,0.32211538461538464,0.1654309753351152,0.1577708006279435,0.22307904450333096
ag_news_cohere_random_samples_cohere_random24_80_temp0_exp1.csv,0.8260869565217391,0.8192293977235315,0.8260869565217391,0.846470383470097
sst5_cohere_random_samples_cohere_random24_60_temp0_exp1.csv,0.548936170212766,0.5489599788291712,0.5489361702127659,0.5574126277556963
20_newsgroups_cohere_random_samples_cohere_random24_40_temp0_exp1.csv,0.6346938775510204,0.39251357463398406,0.3846629560915275,0.47492068739991095
go_emotions_cohere_random_samples_cohere_random24_96_temp0_exp1.csv,0.3201754385964912,0.1437505185611296,0.13721804511278196,0.1965039212896958
social_media_cohere_random_samples_cohere_random42_60_temp0_exp1.csv,0.4676923076923077,0.45204164322603063,0.5968620083567512,0.5171545093712401
