dataset,model,entropy_corr,entropy_p,margin_corr,margin_p,displayed_dataset
go_emotions,gpt4omini,0.346145011325752,3.6756816812841E-55,-0.336895929445459,3.59466164984212E-52,GoEmotions
go_emotions,llama3,0.311071657439468,2.38876629521607E-44,-0.308026179385026,1.78192779151863E-43,GoEmotions
go_emotions,cohere,0.280451449447526,4.91878455255363E-36,-0.265492496748148,2.45921453559924E-32,GoEmotions
sst5,cohere,0.145657967321549,3.74534261654133E-06,-0.151790754083045,1.42120092895214E-06,SST5
sst5,gpt4omini,0.202295741662459,1.074963064218E-10,-0.199786100165688,1.83851046700207E-10,SST5
sst5,llama3,0.260131847854763,6.26429201109316E-17,-0.255218340893509,2.47005334043458E-16,SST5
social_media,llama3,-0.111945599689376,0.000248369724911476,0.105288129272344,0.000571523193053146,SocialMedia
social_media,cohere,-0.200219994490785,4.12689638347068E-11,0.169884527030265,2.35860499268727E-08,SocialMedia
social_media,gpt4omini,-0.123818664259077,5.00472081284444E-05,0.124956497039573,4.25888257492411E-05,SocialMedia
20_newsgroups,gpt4omini,0.510031841358543,6.73261971840355E-133,-0.503241638427965,7.07916946053861E-129,20 Newsgroups
20_newsgroups,cohere,0.357319396252314,2.71413368493131E-61,-0.314457548260399,3.78622352186573E-47,20 Newsgroups
20_newsgroups,llama3,0.52676032457219,3.33098504280166E-143,-0.518777308236407,3.25369575832891E-138,20 Newsgroups
yahoo,llama3,0.323809238006127,7.65192307985955E-26,-0.314695511366155,1.99608856781199E-24,Yahoo
yahoo,cohere,0.396297491791389,5.97877488728624E-39,-0.393667585258077,2.05552325447091E-38,Yahoo
yahoo,gpt4omini,0.299332462221193,3.79067601485889E-22,-0.297386674142615,7.20608811539928E-22,Yahoo
ag_news,gpt4omini,0.347443161936681,9.51799472686561E-30,-0.346791456839818,1.23261939481527E-29,AG News
ag_news,cohere,0.43515068993412,1.8535734233415E-47,-0.431308448252553,1.44541877199546E-46,AG News
ag_news,llama3,0.37157416440131,4.27307504151773E-34,-0.370410566322603,7.06398317939548E-34,AG News
ag_news,llama3,0.3715741644013098,4.273075041517725e-34,-0.370410566322603,7.063983179395476e-34
ag_news,gpt4omini,0.3474431619366805,9.517994726865614e-30,-0.3467914568398184,1.2326193948152656e-29
ag_news,cohere,0.43515068993412037,1.8535734233415e-47,-0.4313084482525525,1.445418771995458e-46
